2025-04-23 20:35:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:35:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:36:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:36:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:37:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:37:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:38:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:38:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:39:58 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:39:58 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:40:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:40:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:41:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:41:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:42:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:42:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:43:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:43:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:44:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:44:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:45:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:45:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:46:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:46:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:47:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:47:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:48:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:48:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:49:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:49:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:50:57 [ERROR]: Error (500): Failed to fetch dashboard statistics
2025-04-23 20:50:57 [ERROR]: Error (500): Failed to fetch trend data
2025-04-23 20:51:57 [ERROR]: Error (500): Failed to fetch trend data
